Comment ID,Comment,Category
50,i love how she says that it is poison in the right dose instead of the wrong dose,Creator
51,i love how genuine her reactions were Ive had fun watching this and not only I was really interested to see what each one of those gadgets did,Creator
52,the fact he didnt buy the nicholas cage spoon is outrageous,Product/Subject
53,i have to say it after watching this video it feels like the journey youre on this year has been effective it simply feels like youre enjoying life and its what i enjoy most about watching your videos you manage to pass that joy on just the musings of a random stranger,Creator
54,i havent laughed like this for years oh my gosh arun youve nailed this one wendi,Creator
55,quality quality quality is everything about this channel arun makes my mood happier video after video lets be serious the best part about this channel is arun making his jokes and when he shows tech,Creator
56,15 spin launch 015 14 graphene 159 13 gps 3 333 12 floating farms 453 11 edge computing 621 10 selfhealing concrete 811 9 hydrogen fuel cells 936 8 satellite constellations 1102 7 gpt3 1217 6 connected homes 1333 5 lithium metal battery 1446 4 3d printing 1559 3 blockchain 1714 2 fighting fire with sound 1827 1 quantum computing,Product/Subject
57,if machines produce everything we need the outcome will depend on how things are distributed everyone can enjoy a life of luxurious leisure if the machineproduced wealth is shared or most people can end up miserably poor if the machineowners successfully lobby against wealth redistribution so far the trend seems to be toward the second option with technology driving everincreasing inequality stephen hawking,Misc./Spam
58,as somebody with a comp sci degree and a decent amount of irl experience i will say edge computing is problematic at its core because client side workload like this is a huge security breach this is why even online video games avoid client side scripting it is a huge vector for exploit it is always interesting to watch a video like this because you are blown away when you listen regarding these other technologies you may not know allot about but when they cover a technology you know about you realize you must question the quality of the info in the other cases where you cannot determine the quality yourself,Product/Subject
59,715 edge of the cloud 930 hydrogen fuel cell 1100 star link 1245 ai gpt 3 14 50 lithium ion battery 1720 block chain 1950 quantum computing,Product/Subject
60,selfhealing concrete is on paper a really good idea there is just one small problem with it and comes from the fact that we are not using limestone for buildings as limestone has this one tiny problem with being rather frail yes it will make the concrete last a big longer but it will also make it harder to see where the weaknesses of the structure is and only really postpone the disaster if at all,Product/Subject
61,ive read that hydrogen can work its way through any container material in your piece about graphen it was stated that it is impermiable to gases even the lightest one assuming the narrator meant hydrogen it might be a solution to the long term storage of hydrogen perhaps,Product/Subject
62,the fire suppression without water was incredible it could save many lives and property especially if it could be auto activated like a heat detector imagine how much property and how many sleeping people could be saved especially if this had a built in alarm and was rigged to keep hallways clear of fire what an inventionwow,Product/Subject
63,id really appreciate a study into the potential advantages of meta materials in manipulating light emf heat and even replacing silicon as semiconductors nearly every industry can benefit from the improvements and cost reductions meta materials can provide really enjoy your videos thank you,Product/Subject
64,i was totally shocked that fusion power generation wasnt included possibly as big a leap as quantum computing in its impact on humanity,Product/Subject
65,i love the one about the hydrogen fuel cellsconsidering this technology has been around for about 20 yearsjust hasnt been used due to a lack of pressure on the industry and the fact that the patent was buried by large corporate interests,Product/Subject
66,i like the meme that says ‘if it bites you and you die it’s venomous if you bite it and you die it’s poisonous’ i actually think it sums it up pretty clearly,Misc./Spam
67,i wish that when people talked about types of skin damage theyd acknowledge what that looks like for people with darker skin we dont get red rashes after sunburn even my darkest bruises are often difficult to spot because of hyperpigmentation the stages of healing for cuts looks vastly different because we dont see the same change in colors around the wound sight not to mention when you look for images to identify clinical signs 99 of those images are of lighter skin and only marginally helpful to us looking to identify potentially serious medical issues,Misc./Spam
68,she has a very effective way of delivering information in a way that is accessible love her,Creator
69,if the lead singer is bret michaels then im sure it is poison that had me laughing for ages,Misc./Spam
70,anne is so cool she makes me want to reevaluate my life choices and return to college to become a toxicologist,Creator
71,my son had botox injections in his legs for years to relax his muscles enough so he could wear splits he has cerebral palsy its crazy knowing that this life changing treatment is also the most dangerous poison,Product/Subject
72,my mom wouldve gone nuts for you while i was growing up lol her big parent fear was toxic chemicals and me getting poisoned so she was always lecturing me about stuff under the sink and making sure i didnt touch the pesticides for the farm once she figured out she could call pbs and theyd send her mr yuck stickers the house and barn were covered in them,Misc./Spam
73,i love how she says that it is poison in the right dose instead of the wrong dose,Creator
74,i love how genuine her reactions were Ive had fun watching this and not only I was really interested to see what each one of those gadgets did,Creator
75,the fact he didnt buy the nicholas cage spoon is outrageous,Product/Subject
76,i have to say it after watching this video it feels like the journey youre on this year has been effective it simply feels like youre enjoying life and its what i enjoy most about watching your videos you manage to pass that joy on just the musings of a random stranger,Creator
77,i havent laughed like this for years oh my gosh arun youve nailed this one wendi,Creator
78,quality quality quality is everything about this channel arun makes my mood happier video after video lets be serious the best part about this channel is arun making his jokes and when he shows tech,Creator
79,15 spin launch 015 14 graphene 159 13 gps 3 333 12 floating farms 453 11 edge computing 621 10 selfhealing concrete 811 9 hydrogen fuel cells 936 8 satellite constellations 1102 7 gpt3 1217 6 connected homes 1333 5 lithium metal battery 1446 4 3d printing 1559 3 blockchain 1714 2 fighting fire with sound 1827 1 quantum computing,Product/Subject
80,if machines produce everything we need the outcome will depend on how things are distributed everyone can enjoy a life of luxurious leisure if the machineproduced wealth is shared or most people can end up miserably poor if the machineowners successfully lobby against wealth redistribution so far the trend seems to be toward the second option with technology driving everincreasing inequality stephen hawking,Misc./Spam
81,as somebody with a comp sci degree and a decent amount of irl experience i will say edge computing is problematic at its core because client side workload like this is a huge security breach this is why even online video games avoid client side scripting it is a huge vector for exploit it is always interesting to watch a video like this because you are blown away when you listen regarding these other technologies you may not know allot about but when they cover a technology you know about you realize you must question the quality of the info in the other cases where you cannot determine the quality yourself,Product/Subject
82,715 edge of the cloud 930 hydrogen fuel cell 1100 star link 1245 ai gpt 3 14 50 lithium ion battery 1720 block chain 1950 quantum computing,Product/Subject
83,selfhealing concrete is on paper a really good idea there is just one small problem with it and comes from the fact that we are not using limestone for buildings as limestone has this one tiny problem with being rather frail yes it will make the concrete last a big longer but it will also make it harder to see where the weaknesses of the structure is and only really postpone the disaster if at all,Product/Subject
84,ive read that hydrogen can work its way through any container material in your piece about graphen it was stated that it is impermiable to gases even the lightest one assuming the narrator meant hydrogen it might be a solution to the long term storage of hydrogen perhaps,Product/Subject
85,the fire suppression without water was incredible it could save many lives and property especially if it could be auto activated like a heat detector imagine how much property and how many sleeping people could be saved especially if this had a built in alarm and was rigged to keep hallways clear of fire what an inventionwow,Product/Subject
86,id really appreciate a study into the potential advantages of meta materials in manipulating light emf heat and even replacing silicon as semiconductors nearly every industry can benefit from the improvements and cost reductions meta materials can provide really enjoy your videos thank you,Product/Subject
87,i was totally shocked that fusion power generation wasnt included possibly as big a leap as quantum computing in its impact on humanity,Product/Subject
88,i love the one about the hydrogen fuel cellsconsidering this technology has been around for about 20 yearsjust hasnt been used due to a lack of pressure on the industry and the fact that the patent was buried by large corporate interests,Product/Subject
89,i like the meme that says ‘if it bites you and you die it’s venomous if you bite it and you die it’s poisonous’ i actually think it sums it up pretty clearly,Misc./Spam
90,i wish that when people talked about types of skin damage theyd acknowledge what that looks like for people with darker skin we dont get red rashes after sunburn even my darkest bruises are often difficult to spot because of hyperpigmentation the stages of healing for cuts looks vastly different because we dont see the same change in colors around the wound sight not to mention when you look for images to identify clinical signs 99 of those images are of lighter skin and only marginally helpful to us looking to identify potentially serious medical issues,Misc./Spam
91,she has a very effective way of delivering information in a way that is accessible love her,Creator
92,if the lead singer is bret michaels then im sure it is poison that had me laughing for ages,Misc./Spam
93,anne is so cool she makes me want to reevaluate my life choices and return to college to become a toxicologist,Creator
94,poison support is one of the more interesting ones of this series im glad to see anne back in the seat and schooling us hoping for more,Creator
95,my son had botox injections in his legs for years to relax his muscles enough so he could wear splits he has cerebral palsy its crazy knowing that this life changing treatment is also the most dangerous poison,Product/Subject
96,my mom wouldve gone nuts for you while i was growing up lol her big parent fear was toxic chemicals and me getting poisoned so she was always lecturing me about stuff under the sink and making sure i didnt touch the pesticides for the farm once she figured out she could call pbs and theyd send her mr yuck stickers the house and barn were covered in them,Misc./Spam
97,i love how she says that it is poison in the right dose instead of the wrong dose,Creator
98,i love how genuine her reactions were Ive had fun watching this and not only I was really interested to see what each one of those gadgets did,Creator
99,the fact he didnt buy the nicholas cage spoon is outrageous,Product/Subject
100,i have to say it after watching this video it feels like the journey youre on this year has been effective it simply feels like youre enjoying life and its what i enjoy most about watching your videos you manage to pass that joy on just the musings of a random stranger,Creator
101,i havent laughed like this for years oh my gosh arun youve nailed this one wendi,Creator
102,quality quality quality is everything about this channel arun makes my mood happier video after video lets be serious the best part about this channel is arun making his jokes and when he shows tech,Creator
103,if machines produce everything we need the outcome will depend on how things are distributed everyone can enjoy a life of luxurious leisure if the machineproduced wealth is shared or most people can end up miserably poor if the machineowners successfully lobby against wealth redistribution so far the trend seems to be toward the second option with technology driving everincreasing inequality stephen hawking,Misc./Spam
104,as somebody with a comp sci degree and a decent amount of irl experience i will say edge computing is problematic at its core because client side workload like this is a huge security breach this is why even online video games avoid client side scripting it is a huge vector for exploit it is always interesting to watch a video like this because you are blown away when you listen regarding these other technologies you may not know allot about but when they cover a technology you know about you realize you must question the quality of the info in the other cases where you cannot determine the quality yourself,Product/Subject
105,715 edge of the cloud 930 hydrogen fuel cell 1100 star link 1245 ai gpt 3 14 50 lithium ion battery 1720 block chain 1950 quantum computing,Product/Subject
106,selfhealing concrete is on paper a really good idea there is just one small problem with it and comes from the fact that we are not using limestone for buildings as limestone has this one tiny problem with being rather frail yes it will make the concrete last a big longer but it will also make it harder to see where the weaknesses of the structure is and only really postpone the disaster if at all,Product/Subject
107,ive read that hydrogen can work its way through any container material in your piece about graphen it was stated that it is impermiable to gases even the lightest one assuming the narrator meant hydrogen it might be a solution to the long term storage of hydrogen perhaps,Product/Subject
108,the fire suppression without water was incredible it could save many lives and property especially if it could be auto activated like a heat detector imagine how much property and how many sleeping people could be saved especially if this had a built in alarm and was rigged to keep hallways clear of fire what an inventionwow,Product/Subject
109,id really appreciate a study into the potential advantages of meta materials in manipulating light emf heat and even replacing silicon as semiconductors nearly every industry can benefit from the improvements and cost reductions meta materials can provide really enjoy your videos thank you,Product/Subject
110,i was totally shocked that fusion power generation wasnt included possibly as big a leap as quantum computing in its impact on humanity,Product/Subject
111,i love the one about the hydrogen fuel cellsconsidering this technology has been around for about 20 yearsjust hasnt been used due to a lack of pressure on the industry and the fact that the patent was buried by large corporate interests,Product/Subject
112,i like the meme that says ‘if it bites you and you die it’s venomous if you bite it and you die it’s poisonous’ i actually think it sums it up pretty clearly,Misc./Spam
113,i wish that when people talked about types of skin damage theyd acknowledge what that looks like for people with darker skin we dont get red rashes after sunburn even my darkest bruises are often difficult to spot because of hyperpigmentation the stages of healing for cuts looks vastly different because we dont see the same change in colors around the wound sight not to mention when you look for images to identify clinical signs 99 of those images are of lighter skin and only marginally helpful to us looking to identify potentially serious medical issues,Misc./Spam
114,she has a very effective way of delivering information in a way that is accessible love her,Creator
115,if the lead singer is bret michaels then im sure it is poison that had me laughing for ages,Misc./Spam
116,anne is so cool she makes me want to reevaluate my life choices and return to college to become a toxicologist,Creator
117,poison support is one of the more interesting ones of this series im glad to see anne back in the seat and schooling us hoping for more,Creator
118,my son had botox injections in his legs for years to relax his muscles enough so he could wear splits he has cerebral palsy its crazy knowing that this life changing treatment is also the most dangerous poison,Product/Subject
119,my mom wouldve gone nuts for you while i was growing up lol her big parent fear was toxic chemicals and me getting poisoned so she was always lecturing me about stuff under the sink and making sure i didnt touch the pesticides for the farm once she figured out she could call pbs and theyd send her mr yuck stickers the house and barn were covered in them,Misc./Spam
120,i love how she says that it is poison in the right dose instead of the wrong dose,Creator
121,i love how genuine her reactions were Ive had fun watching this and not only I was really interested to see what each one of those gadgets did,Creator
122,the fact he didnt buy the nicholas cage spoon is outrageous,Product/Subject
123,i have to say it after watching this video it feels like the journey youre on this year has been effective it simply feels like youre enjoying life and its what i enjoy most about watching your videos you manage to pass that joy on just the musings of a random stranger,Creator
124,i havent laughed like this for years oh my gosh arun youve nailed this one wendi,Creator
125,quality quality quality is everything about this channel arun makes my mood happier video after video lets be serious the best part about this channel is arun making his jokes and when he shows tech,Creator
126,15 spin launch 015 14 graphene 159 13 gps 3 333 12 floating farms 453 11 edge computing 621 10 selfhealing concrete 811 9 hydrogen fuel cells 936 8 satellite constellations 1102 7 gpt3 1217 6 connected homes 1333 5 lithium metal battery 1446 4 3d printing 1559 3 blockchain 1714 2 fighting fire with sound 1827 1 quantum computing,Product/Subject
127,if machines produce everything we need the outcome will depend on how things are distributed everyone can enjoy a life of luxurious leisure if the machineproduced wealth is shared or most people can end up miserably poor if the machineowners successfully lobby against wealth redistribution so far the trend seems to be toward the second option with technology driving everincreasing inequality stephen hawking,Misc./Spam
128,as somebody with a comp sci degree and a decent amount of irl experience i will say edge computing is problematic at its core because client side workload like this is a huge security breach this is why even online video games avoid client side scripting it is a huge vector for exploit it is always interesting to watch a video like this because you are blown away when you listen regarding these other technologies you may not know allot about but when they cover a technology you know about you realize you must question the quality of the info in the other cases where you cannot determine the quality yourself,Product/Subject
129,715 edge of the cloud 930 hydrogen fuel cell 1100 star link 1245 ai gpt 3 14 50 lithium ion battery 1720 block chain 1950 quantum computing,Product/Subject
130,selfhealing concrete is on paper a really good idea there is just one small problem with it and comes from the fact that we are not using limestone for buildings as limestone has this one tiny problem with being rather frail yes it will make the concrete last a big longer but it will also make it harder to see where the weaknesses of the structure is and only really postpone the disaster if at all,Product/Subject
131,ive read that hydrogen can work its way through any container material in your piece about graphen it was stated that it is impermiable to gases even the lightest one assuming the narrator meant hydrogen it might be a solution to the long term storage of hydrogen perhaps,Product/Subject
132,the fire suppression without water was incredible it could save many lives and property especially if it could be auto activated like a heat detector imagine how much property and how many sleeping people could be saved especially if this had a built in alarm and was rigged to keep hallways clear of fire what an inventionwow,Product/Subject
133,id really appreciate a study into the potential advantages of meta materials in manipulating light emf heat and even replacing silicon as semiconductors nearly every industry can benefit from the improvements and cost reductions meta materials can provide really enjoy your videos thank you,Product/Subject
134,i was totally shocked that fusion power generation wasnt included possibly as big a leap as quantum computing in its impact on humanity,Product/Subject
135,i love the one about the hydrogen fuel cellsconsidering this technology has been around for about 20 yearsjust hasnt been used due to a lack of pressure on the industry and the fact that the patent was buried by large corporate interests,Product/Subject
136,i like the meme that says ‘if it bites you and you die it’s venomous if you bite it and you die it’s poisonous’ i actually think it sums it up pretty clearly,Misc./Spam
137,i wish that when people talked about types of skin damage theyd acknowledge what that looks like for people with darker skin we dont get red rashes after sunburn even my darkest bruises are often difficult to spot because of hyperpigmentation the stages of healing for cuts looks vastly different because we dont see the same change in colors around the wound sight not to mention when you look for images to identify clinical signs 99 of those images are of lighter skin and only marginally helpful to us looking to identify potentially serious medical issues,Misc./Spam
138,she has a very effective way of delivering information in a way that is accessible love her,Creator
139,if the lead singer is bret michaels then im sure it is poison that had me laughing for ages,Misc./Spam
140,anne is so cool she makes me want to reevaluate my life choices and return to college to become a toxicologist,Creator
141,poison support is one of the more interesting ones of this series im glad to see anne back in the seat and schooling us hoping for more,Creator
142,my son had botox injections in his legs for years to relax his muscles enough so he could wear splits he has cerebral palsy its crazy knowing that this life changing treatment is also the most dangerous poison,Product/Subject
143,my mom wouldve gone nuts for you while i was growing up lol her big parent fear was toxic chemicals and me getting poisoned so she was always lecturing me about stuff under the sink and making sure i didnt touch the pesticides for the farm once she figured out she could call pbs and theyd send her mr yuck stickers the house and barn were covered in them,Misc./Spam
144,i love how she says that it is poison in the right dose instead of the wrong dose,Creator
145,i love how genuine her reactions were Ive had fun watching this and not only I was really interested to see what each one of those gadgets did,Creator
146,the fact he didnt buy the nicholas cage spoon is outrageous,Product/Subject
147,i have to say it after watching this video it feels like the journey youre on this year has been effective it simply feels like youre enjoying life and its what i enjoy most about watching your videos you manage to pass that joy on just the musings of a random stranger,Creator
148,i havent laughed like this for years oh my gosh arun youve nailed this one wendi,Creator
149,quality quality quality is everything about this channel arun makes my mood happier video after video lets be serious the best part about this channel is arun making his jokes and when he shows tech,Creator
150,15 spin launch 015 14 graphene 159 13 gps 3 333 12 floating farms 453 11 edge computing 621 10 selfhealing concrete 811 9 hydrogen fuel cells 936 8 satellite constellations 1102 7 gpt3 1217 6 connected homes 1333 5 lithium metal battery 1446 4 3d printing 1559 3 blockchain 1714 2 fighting fire with sound 1827 1 quantum computing,Product/Subject
151,if machines produce everything we need the outcome will depend on how things are distributed everyone can enjoy a life of luxurious leisure if the machineproduced wealth is shared or most people can end up miserably poor if the machineowners successfully lobby against wealth redistribution so far the trend seems to be toward the second option with technology driving everincreasing inequality stephen hawking,Misc./Spam
152,as somebody with a comp sci degree and a decent amount of irl experience i will say edge computing is problematic at its core because client side workload like this is a huge security breach this is why even online video games avoid client side scripting it is a huge vector for exploit it is always interesting to watch a video like this because you are blown away when you listen regarding these other technologies you may not know allot about but when they cover a technology you know about you realize you must question the quality of the info in the other cases where you cannot determine the quality yourself,Product/Subject
153,715 edge of the cloud 930 hydrogen fuel cell 1100 star link 1245 ai gpt 3 14 50 lithium ion battery 1720 block chain 1950 quantum computing,Product/Subject
154,selfhealing concrete is on paper a really good idea there is just one small problem with it and comes from the fact that we are not using limestone for buildings as limestone has this one tiny problem with being rather frail yes it will make the concrete last a big longer but it will also make it harder to see where the weaknesses of the structure is and only really postpone the disaster if at all,Product/Subject
155,ive read that hydrogen can work its way through any container material in your piece about graphen it was stated that it is impermiable to gases even the lightest one assuming the narrator meant hydrogen it might be a solution to the long term storage of hydrogen perhaps,Product/Subject
156,the fire suppression without water was incredible it could save many lives and property especially if it could be auto activated like a heat detector imagine how much property and how many sleeping people could be saved especially if this had a built in alarm and was rigged to keep hallways clear of fire what an inventionwow,Product/Subject
157,id really appreciate a study into the potential advantages of meta materials in manipulating light emf heat and even replacing silicon as semiconductors nearly every industry can benefit from the improvements and cost reductions meta materials can provide really enjoy your videos thank you,Product/Subject
158,i was totally shocked that fusion power generation wasnt included possibly as big a leap as quantum computing in its impact on humanity,Product/Subject
159,i love the one about the hydrogen fuel cellsconsidering this technology has been around for about 20 yearsjust hasnt been used due to a lack of pressure on the industry and the fact that the patent was buried by large corporate interests,Product/Subject
160,i like the meme that says ‘if it bites you and you die it’s venomous if you bite it and you die it’s poisonous’ i actually think it sums it up pretty clearly,Misc./Spam
161,i wish that when people talked about types of skin damage theyd acknowledge what that looks like for people with darker skin we dont get red rashes after sunburn even my darkest bruises are often difficult to spot because of hyperpigmentation the stages of healing for cuts looks vastly different because we dont see the same change in colors around the wound sight not to mention when you look for images to identify clinical signs 99 of those images are of lighter skin and only marginally helpful to us looking to identify potentially serious medical issues,Misc./Spam
162,she has a very effective way of delivering information in a way that is accessible love her,Creator
163,if the lead singer is bret michaels then im sure it is poison that had me laughing for ages,Misc./Spam
164,anne is so cool she makes me want to reevaluate my life choices and return to college to become a toxicologist,Creator
165,poison support is one of the more interesting ones of this series im glad to see anne back in the seat and schooling us hoping for more,Creator
166,my son had botox injections in his legs for years to relax his muscles enough so he could wear splits he has cerebral palsy its crazy knowing that this life changing treatment is also the most dangerous poison,Product/Subject
167,my mom wouldve gone nuts for you while i was growing up lol her big parent fear was toxic chemicals and me getting poisoned so she was always lecturing me about stuff under the sink and making sure i didnt touch the pesticides for the farm once she figured out she could call pbs and theyd send her mr yuck stickers the house and barn were covered in them,Misc./Spam
168,i love how she says that it is poison in the right dose instead of the wrong dose,Creator
169,i love how genuine her reactions were Ive had fun watching this and not only I was really interested to see what each one of those gadgets did,Creator
170,the fact he didnt buy the nicholas cage spoon is outrageous,Product/Subject
171,i have to say it after watching this video it feels like the journey youre on this year has been effective it simply feels like youre enjoying life and its what i enjoy most about watching your videos you manage to pass that joy on just the musings of a random stranger,Creator
172,i havent laughed like this for years oh my gosh arun youve nailed this one wendi,Creator
173,quality quality quality is everything about this channel arun makes my mood happier video after video lets be serious the best part about this channel is arun making his jokes and when he shows tech,Creator
174,15 spin launch 015 14 graphene 159 13 gps 3 333 12 floating farms 453 11 edge computing 621 10 selfhealing concrete 811 9 hydrogen fuel cells 936 8 satellite constellations 1102 7 gpt3 1217 6 connected homes 1333 5 lithium metal battery 1446 4 3d printing 1559 3 blockchain 1714 2 fighting fire with sound 1827 1 quantum computing,Product/Subject
175,if machines produce everything we need the outcome will depend on how things are distributed everyone can enjoy a life of luxurious leisure if the machineproduced wealth is shared or most people can end up miserably poor if the machineowners successfully lobby against wealth redistribution so far the trend seems to be toward the second option with technology driving everincreasing inequality stephen hawking,Misc./Spam
176,as somebody with a comp sci degree and a decent amount of irl experience i will say edge computing is problematic at its core because client side workload like this is a huge security breach this is why even online video games avoid client side scripting it is a huge vector for exploit it is always interesting to watch a video like this because you are blown away when you listen regarding these other technologies you may not know allot about but when they cover a technology you know about you realize you must question the quality of the info in the other cases where you cannot determine the quality yourself,Product/Subject
177,715 edge of the cloud 930 hydrogen fuel cell 1100 star link 1245 ai gpt 3 14 50 lithium ion battery 1720 block chain 1950 quantum computing,Product/Subject
178,selfhealing concrete is on paper a really good idea there is just one small problem with it and comes from the fact that we are not using limestone for buildings as limestone has this one tiny problem with being rather frail yes it will make the concrete last a big longer but it will also make it harder to see where the weaknesses of the structure is and only really postpone the disaster if at all,Product/Subject
